会社名,会場,ブース番号,説明（日本語）,備考,Best of Innovation,山中行きたい,長坂行きたい,PDFページ,PDF_X,PDF_Y
ExciteWave Innovations,LVCC West,60854,ExciteWaveは、ほぼあらゆるケースに優れた音質を提供し、クリエイター、請負業者、外出先のプロフェッショナルに豊かで携帯可能な音を提供することに注力しています。,,,,,11.0,207.52,371.02
FREECOVERY,LVCC West,60415,私たちは努力のために生きています。スポーツはもはや人生の一部ではなく、人生そのものです。日の出走りから昼食の試合まで、私たちは気分よく動き、繋がるために競い合う。でも真実は?もし君が...,,,,,11.0,269.73,384.29
FYELABS,LVCC West,60510,FYELABSは、スタートアップや中小企業向けに特化した製品開発ショップです。リーンな製品開発モデルにより、顧客が...,,,,,11.0,368.28,402.85
"Fakeeyes Co., Ltd.",LVCC West,62738,FAKE EYESはXRとVision AIを活用したオンデバイス移動補助具を開発しています。ネットワーク接続なしでリアルタイムの危険検知と音声案内を提供し、専用のナビゲーションサービスも提供します...,,,,,11.0,429.99,237.53
"Far Vision Technology CO., LTD.",LVCC West,62201,ファービジョンテクノロジー株式会社は、世界初の遠距離光学眼科ケア機器を開発し、子どもの近視予防に特化しました。臨床的にアシアルエディションを44〜49%減少させることが証明されている、私たちのソリューションは...,,,,,11.0,313.4,238.43
FilameX Technology,LVCC West,63432,FilameXは、簡単で信頼性が高く持続可能な3Dプリント材料生産を可能にするコンパクトで高精度なフィラメント押出システムを開発しています。我々の特許技術は産業用パフォーマーをつなぐ...,,,,,11.0,240.13,184.48
Flowtica AI Pte. Ltd.,Venetian Expo,61032,Flowtica AIは2024年に設立され、AIを創造的な仕事や日常生活にシームレスに統合しています。最初の製品であるFlowtica Scribeは、AIボイスレコーダーで、2025年末に発売されました。私たちはギミックを追いかけたりしません。私たちは...,,,★★,,11.0,256.15,357.76
Flush-Locks USA,LVCC West,60646,統合されたスマートロックと決済技術を用いてシームレスな有料トイレへのアクセスを実現します。特許出願中(トイレ施設向けの統合決済・アクセス制御システム)。この商品は中...,,,,,11.0,225.21,384.29
Flywing AERO Technology Co. Ltd.,LVCC West,62919,可動式ジョイスティックと姿勢インジケーター、VRヘッドトラッキング技術を備え、まるで操縦席に座ってXウイングの戦闘を自ら操縦しているかのような感覚を与えてくれます...,,,,,11.0,385.42,219.83
FusionLex (iDiscover),LVCC West,60835,FusionLexは、言語、感情、文脈をAPIやエンタープライズプラットフォーム間でリアルタイムのビジネスアクションに変換する適応型認知OS(iDiscover)を構築し、システムが理解し、PRを行えるようにします。,,,,,11.0,251.73,362.18
G.Talk,LVCC West,62201,私たちは、現代のユーザーの生活の質向上への追求に応えるインテリジェントなソフトウェアソリューションの開発に専念しています。,,,,,11.0,313.4,238.43
"G1 Intelligent Technologies, Inc.",LVCC West,62201,G1企業はAI駆動のビデオベースの非接触技術を通じて人間の健康を向上させています。そのソリューションは標準的なRGを用いて心拍数、血圧、酸素飽和度、呼吸率、HRVを測定します...,,,,,11.0,313.4,238.43
GAAON,LVCC West,62901,GAAONは世界初の犬向けのAI感情アクセシビリティウェアラブル「Heartelligence」を発表しました。高度なPPGセンシングとディープラーニングを用いて、犬の心拍リズムをリアルタイムの感情に変換します...,,,,,11.0,345.64,219.83
GASIAN,LVCC West,63300,複数の薬を飲むことを忘れるのは難しいことがあります。DEFIスマートIoTピルボックスは、リマインダーを設定し、ピルの服用状況を追跡して、生活をより楽にします!,,,,,11.0,348.82,180.06
"GENKS CO., LTD.",LVCC West,62833,,,,,,11.0,241.29,206.6
"GEVR Co,.Ltd.",LVCC West,63600,GEVRはEVおよびESS向けの先進的なバッテリー消火ソリューションを開発しています。当社のEV Guard Lロボットは、独自の環境に優しい成分を使用して暴走したバッテリーパックを貫通し冷却します。バッターも提供しています...,,,,,11.0,300.98,170.56
GRETA Inc.,LVCC West,63300,GRETA Inc.は、企業価値の評価方法を革新することに専念するデータ駆動型AI企業です。合成データ技術に由来するGRETAは、より正確で直感的なデータを提供するためにELDOを立ち上げます...,,,,,11.0,348.82,180.06
Gakugeki Inc.,LVCC West,62801,学藝株式会社はアニメスタジオやVTuber代理店と協力し、次世代のVRエンターテインメントプラットフォームを立ち上げています。高度なVRとAIを活用し、ファンはお気に入りのキャラクターとイマージで出会うことができました...,,,,,11.0,302.4,213.22
Galavers Ltd Corp,LVCC West,62201,Galaverseは、特にAI搭載センシングチップの開発における半導体産業への革新的な貢献で評価されています。これらのチップはワイヤレス通信を強化するために設計されています...,,,,,11.0,313.4,238.43
"GasolineAI Co., Ltd.",LVCC West,62201,GasolineAIは、産業用応用向けのAI駆動燃焼制御を専門とするディープテックスタートアップです。当社の特許技術は、工場が燃料消費とCO₂排出を削減するのを助けています。,,,,,11.0,313.4,238.43
Geeks Loft Inc.,Venetian Expo,62817,Geeks Loftは、従来のヘッドホン設計に回転表示帯を導入した世界初のスマートヘッドホン「Perisphere」を販売しています。スマートヘッドホンは監査人と連携しています...,,★,★,,11.0,272.28,206.6
"Gene On Biotech, Inc.",LVCC West,62845,Gene On Biotechは、プロテオーム規模の実験データを活用したAI量子創薬プラットフォームQUAIを開発しています。2万個のヒトタンパク質マイクロアレイを用いて、QUAIはペプチド治療設計を加速します...,,,,,11.0,213.61,215.42
GenesisEgo Inc.,LVCC West,62817,GenesisEgoは、ゲノミクス、低量液体生検、AI駆動の腫瘍プロファイリングを統合したペット腫瘍バイオテクノロジーで、犬のがんを早期に発見し、精密治療を指導しています。私たちはフルスタックのペットを作ります...,,,,,11.0,272.28,206.6
GloPros,LVCC West,62100,オールインワンの採用プラットフォーム。世界中の高技能専門家と企業をつなげること。AIを活用し、人間の採用専門家と連携して、最高の...,,,,,11.0,346.94,271.58
GoKidu Technologies Corp,LVCC West,61240,GoKiduは、受取人と認証済みの精子、卵子、胚の提供者、そして代理母を透明かつ安全かつ法的に保護された方法でつなぐモバイルプラットフォームです。古いものを置き換えているんだ、それに...,,,,,11.0,238.47,344.5
Golana Computing,LVCC West,60711,ゴラナは産業用資産管理のディープテックAIスタートアップです。当社のプラグアンドプレイで機械に依存しないプラットフォームは、振動、電流、磁気などのサブミリ秒信号を捕捉し、異常を検出します。,,,,,11.0,369.65,344.52
"GongCar Co., Ltd.",LVCC West,62845,"Gongcarは、レンタカーの非効率性を技術で解決する次世代モビリティインフラ企業です。NEXUS AIは、取得、運用、保守、再販を一つのデータハブに統合しています,...",,,,,11.0,213.61,215.42
Green Vigor Limited,LVCC West,63200,私たちは世界で初めて建物の水槽に水力をリサイクルしています。特許取得済みの新規モジュール式かつ現地での水力リサイクルシステム「HydroVigor ®」により、都市建築用水の解き放ちを目指しています...,,,,,11.0,302.69,186.7
H&B Materials,LVCC West,60711,H&B Materialsは、次世代のPFASフリーテキスタイルコーティングを開発するディープテックスタートアップです。私たちの生体ベースの共有結合接ぎ木とナノ構造技術は、耐久性のある水と油の除去性を兼ね備え、...,,,,,11.0,369.65,344.52
HKN Corporation,LVCC West,60711,HKNはブロックチェーンに基づく次世代のチケットプラットフォームであり、イベント主催者にデータ、自動化、管理を提供し、より賢明な意思決定、シームレスな決済、そしてより良いオーディエンス体験を可能にします...,,,,,11.0,369.65,344.52
